State,P,T,h,s,x
0,496490.2887139107,291.5933070866142,410193.51413756213,1729.5730466736773,-1.0
1,1713387.6640419946,349.48490813648294,446839.4604336149,1760.55085621642,-1.0
2,1671678.293253658,326.92007874015746,277402.34395618935,1254.2395814982626,-1.0
3,538199.6595022472,291.2106299212598,277402.34395618935,1267.8377902409727,0.2862105752132521
