# Run number 03 on Fri May 31 10:49:17 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P2	P1
    1.2	 39.9	 45.7	 22.2	 23.1	 24.5	 47.7	 35.6	 20.3	-0.000	11.981	 5.886
    1.4	 39.9	 45.7	 22.2	 23.1	 24.6	 47.7	 35.6	 20.4	 0.000	11.981	 6.029
    2.2	 39.9	 45.7	 22.1	 23.1	 24.6	 47.7	 35.6	 20.3	-0.001	11.981	 5.886
    2.9	 39.9	 45.7	 22.0	 23.1	 24.6	 47.6	 35.7	 20.3	 0.001	11.981	 5.886
    3.7	 39.9	 45.7	 22.0	 23.1	 24.6	 47.6	 35.7	 20.3	 0.001	11.981	 5.886
    4.4	 39.9	 45.7	 21.9	 22.9	 24.6	 47.5	 35.8	 20.3	 0.016	11.940	 5.906
    5.2	 39.4	 45.7	 21.9	 22.8	 24.6	 47.5	 35.8	 20.3	 0.230	11.981	 5.906
    5.9	 38.9	 48.7	 22.0	 22.7	 24.7	 49.3	 35.8	 20.3	 0.213	11.245	 5.967
    6.7	 39.3	 50.5	 22.1	 22.7	 24.8	 47.3	 35.9	 20.4	 0.213	 9.158	 6.417
    7.4	 40.3	 49.7	 22.2	 22.7	 25.1	 47.2	 35.9	 20.4	 0.210	 8.054	 7.009
    8.2	 39.9	 48.7	 22.2	 22.7	 26.2	 47.1	 36.0	 20.4	 0.214	 8.463	 8.255
    8.9	 39.5	 48.3	 22.3	 22.8	 31.7	 47.0	 36.0	 20.5	 0.214	 8.708	 8.746
    9.7	 39.2	 47.8	 22.3	 22.9	 32.6	 47.0	 36.0	 20.6	 0.215	 8.647	 8.705
   10.5	 39.2	 48.2	 22.7	 22.9	 32.8	 47.7	 36.1	 20.7	 0.214	 8.442	 8.541
   11.2	 39.5	 47.6	 22.8	 23.0	 32.9	 48.0	 36.1	 20.9	 0.214	 8.258	 8.378
   12.0	 39.9	 46.6	 23.0	 23.1	 32.9	 48.2	 36.1	 21.0	 0.216	 8.177	 8.255
   12.7	 40.3	 45.9	 23.2	 22.9	 32.9	 48.5	 36.1	 21.5	 0.209	 8.033	 8.112
   13.5	 40.5	 43.7	 23.5	 22.9	 32.8	 48.7	 36.1	 21.7	 0.211	 7.911	 7.969
   14.2	 40.7	 42.6	 23.9	 22.8	 32.8	 49.0	 36.2	 22.0	 0.212	 7.808	 7.847
   15.0	 40.9	 41.6	 24.3	 22.8	 32.6	 49.1	 36.2	 22.2	 0.209	 7.727	 7.765
   15.8	 41.0	 40.8	 24.6	 22.8	 32.4	 49.1	 36.2	 22.5	 0.210	 7.665	 7.683
   16.5	 41.1	 39.7	 25.0	 22.7	 32.0	 49.2	 36.2	 23.0	 0.206	 7.604	 7.643
   17.3	 41.1	 39.3	 25.2	 22.7	 31.8	 49.2	 36.2	 23.2	 0.215	 7.563	 7.602
   18.0	 41.2	 38.8	 25.4	 22.7	 31.6	 49.1	 36.2	 23.4	 0.219	 7.543	 7.561
   18.8	 41.2	 38.4	 25.3	 22.7	 31.5	 49.1	 36.2	 23.6	 0.207	 7.543	 7.561
   19.5	 41.3	 38.1	 25.6	 22.7	 31.3	 49.1	 36.3	 23.8	 0.209	 7.502	 7.540
   20.3	 41.3	 37.7	 25.5	 22.7	 31.2	 49.1	 36.3	 24.1	 0.209	 7.522	 7.540
   21.0	 41.3	 37.7	 25.6	 22.7	 31.1	 49.0	 36.3	 24.3	 0.210	 7.522	 7.540
   21.8	 41.3	 37.7	 25.9	 22.8	 31.0	 48.9	 36.2	 24.4	 0.213	 7.522	 7.540
   22.5	 41.3	 37.8	 26.1	 22.8	 31.0	 48.8	 36.3	 24.5	 0.215	 7.522	 7.540
   23.3	 41.3	 37.9	 26.3	 22.8	 31.0	 48.8	 36.2	 24.7	 0.213	 7.522	 7.540
   24.0	 41.3	 38.0	 26.2	 22.7	 30.9	 48.7	 36.2	 24.9	 0.211	 7.543	 7.561
   24.8	 41.3	 38.3	 26.3	 22.8	 30.8	 48.6	 36.2	 25.0	 0.213	 7.543	 7.561
   25.6	 41.3	 38.4	 26.5	 22.9	 30.8	 48.5	 36.2	 25.1	 0.214	 7.522	 7.561
   26.3	 41.3	 38.6	 26.6	 22.9	 30.8	 48.4	 36.2	 25.2	 0.212	 7.543	 7.561
   27.1	 41.3	 38.8	 26.6	 22.8	 30.7	 48.3	 36.2	 25.3	 0.209	 7.583	 7.561
   27.8	 41.3	 38.9	 26.6	 22.8	 30.7	 48.3	 36.2	 25.5	 0.207	 7.543	 7.561
   28.6	 41.3	 39.2	 26.8	 22.8	 30.6	 48.2	 36.2	 25.5	 0.211	 7.543	 7.581
   29.3	 41.3	 39.4	 27.0	 22.8	 30.6	 48.1	 36.2	 25.6	 0.212	 7.543	 7.581
   30.1	 41.2	 39.5	 26.9	 22.8	 30.6	 48.0	 36.2	 25.7	 0.210	 7.543	 7.561
