State,P,T,h,s,x
0,496490.2887139107,291.5933070866141,410193.5141375621,1729.573046673677,-1.0
1,1483415.9817651757,343.7588573328181,444399.3772174606,1762.677282208191,-1.0
2,1447304.861955414,326.92007874015746,277522.50228131603,1255.23928047107,0.0
3,538199.6595022472,291.2106299212598,277522.50228131603,1268.250406789892,0.2868637034658348
