	 P (Pa) 	 T (deg C) 	 sf (kJ/kg.K) 	 sg (kJ/kg.K) 	 hf (kJ/kg.K) 	 hg (kJ/kg.K)
	 587056.28 	     20.86 	      1.10 	      1.72 	    228.68 	    410.20 
	 592512.56 	     21.16 	      1.10 	      1.72 	    229.10 	    410.36 
	 598019.56 	     21.46 	      1.10 	      1.72 	    229.53 	    410.51 
	 603577.74 	     21.77 	      1.10 	      1.72 	    229.96 	    410.67 
	 609187.58 	     22.07 	      1.11 	      1.72 	    230.39 	    410.83 
	 614849.56 	     22.37 	      1.11 	      1.72 	    230.82 	    410.99 
	 620564.17 	     22.68 	      1.11 	      1.72 	    231.25 	    411.15 
	 626331.89 	     22.98 	      1.11 	      1.72 	    231.68 	    411.30 
	 632153.22 	     23.29 	      1.11 	      1.72 	    232.12 	    411.46 
	 638028.65 	     23.60 	      1.11 	      1.72 	    232.55 	    411.62 
	 643958.69 	     23.91 	      1.11 	      1.72 	    232.99 	    411.78 
	 649943.84 	     24.21 	      1.12 	      1.72 	    233.43 	    411.93 
	 655984.62 	     24.52 	      1.12 	      1.72 	    233.87 	    412.09 
	 662081.55 	     24.83 	      1.12 	      1.72 	    234.31 	    412.25 
	 668235.14 	     25.14 	      1.12 	      1.72 	    234.75 	    412.41 
	 674445.93 	     25.45 	      1.12 	      1.72 	    235.19 	    412.56 
	 680714.45 	     25.77 	      1.12 	      1.72 	    235.64 	    412.72 
	 687041.22 	     26.08 	      1.13 	      1.72 	    236.09 	    412.88 
	 693426.80 	     26.39 	      1.13 	      1.72 	    236.53 	    413.04 
	 699871.72 	     26.71 	      1.13 	      1.72 	    236.98 	    413.19 
	 706376.55 	     27.02 	      1.13 	      1.72 	    237.44 	    413.35 
	 712941.84 	     27.34 	      1.13 	      1.72 	    237.89 	    413.51 
	 719568.14 	     27.65 	      1.13 	      1.72 	    238.34 	    413.67 
	 726256.04 	     27.97 	      1.13 	      1.72 	    238.80 	    413.82 
	 733006.09 	     28.29 	      1.14 	      1.72 	    239.25 	    413.98 
	 739818.88 	     28.61 	      1.14 	      1.71 	    239.71 	    414.14 
	 746694.99 	     28.93 	      1.14 	      1.71 	    240.17 	    414.29 
	 753635.01 	     29.25 	      1.14 	      1.71 	    240.63 	    414.45 
	 760639.53 	     29.57 	      1.14 	      1.71 	    241.10 	    414.61 
	 767709.15 	     29.89 	      1.14 	      1.71 	    241.56 	    414.76 
	 774844.48 	     30.21 	      1.14 	      1.71 	    242.03 	    414.92 
	 782046.13 	     30.53 	      1.15 	      1.71 	    242.49 	    415.08 
	 789314.71 	     30.86 	      1.15 	      1.71 	    242.96 	    415.23 
	 796650.85 	     31.18 	      1.15 	      1.71 	    243.43 	    415.39 
	 804055.18 	     31.51 	      1.15 	      1.71 	    243.90 	    415.54 
	 811528.32 	     31.83 	      1.15 	      1.71 	    244.38 	    415.70 
	 819070.92 	     32.16 	      1.15 	      1.71 	    244.85 	    415.86 
	 826683.62 	     32.48 	      1.16 	      1.71 	    245.33 	    416.01 
	 834367.08 	     32.81 	      1.16 	      1.71 	    245.81 	    416.17 
	 842121.95 	     33.14 	      1.16 	      1.71 	    246.29 	    416.32 
	 849948.90 	     33.47 	      1.16 	      1.71 	    246.77 	    416.48 
	 857848.59 	     33.80 	      1.16 	      1.71 	    247.25 	    416.63 
	 865821.71 	     34.13 	      1.16 	      1.71 	    247.73 	    416.79 
	 873868.92 	     34.46 	      1.16 	      1.71 	    248.22 	    416.94 
	 881990.94 	     34.80 	      1.17 	      1.71 	    248.71 	    417.09 
	 890188.44 	     35.13 	      1.17 	      1.71 	    249.20 	    417.25 
	 898462.13 	     35.46 	      1.17 	      1.71 	    249.69 	    417.40 
	 906812.72 	     35.80 	      1.17 	      1.71 	    250.18 	    417.56 
	 915240.92 	     36.13 	      1.17 	      1.71 	    250.68 	    417.71 
	 923747.46 	     36.47 	      1.17 	      1.71 	    251.17 	    417.86 
	 932333.06 	     36.81 	      1.18 	      1.71 	    251.67 	    418.01 
	 940998.46 	     37.15 	      1.18 	      1.71 	    252.17 	    418.17 
	 949744.39 	     37.49 	      1.18 	      1.71 	    252.67 	    418.32 
	 958571.62 	     37.82 	      1.18 	      1.71 	    253.17 	    418.47 
	 967480.88 	     38.17 	      1.18 	      1.71 	    253.68 	    418.62 
	 976472.96 	     38.51 	      1.18 	      1.71 	    254.18 	    418.77 
	 985548.60 	     38.85 	      1.19 	      1.71 	    254.69 	    418.92 
	 994708.60 	     39.19 	      1.19 	      1.71 	    255.20 	    419.08 
	1003953.74 	     39.53 	      1.19 	      1.71 	    255.71 	    419.23 
	1013284.80 	     39.88 	      1.19 	      1.71 	    256.23 	    419.38 
	1022702.59 	     40.22 	      1.19 	      1.71 	    256.74 	    419.53 
	1032207.91 	     40.57 	      1.19 	      1.71 	    257.26 	    419.67 
	1041801.57 	     40.92 	      1.19 	      1.71 	    257.78 	    419.82 
	1051484.41 	     41.26 	      1.20 	      1.71 	    258.30 	    419.97 
	1061257.23 	     41.61 	      1.20 	      1.71 	    258.82 	    420.12 
	1071120.89 	     41.96 	      1.20 	      1.71 	    259.35 	    420.27 
	1081076.23 	     42.31 	      1.20 	      1.71 	    259.87 	    420.41 
	1091124.09 	     42.66 	      1.20 	      1.71 	    260.40 	    420.56 
	1101265.34 	     43.01 	      1.20 	      1.71 	    260.93 	    420.71 
	1111500.85 	     43.37 	      1.21 	      1.71 	    261.46 	    420.85 
	1121831.49 	     43.72 	      1.21 	      1.71 	    262.00 	    421.00 
	1132258.14 	     44.07 	      1.21 	      1.71 	    262.53 	    421.14 
	1142781.70 	     44.43 	      1.21 	      1.71 	    263.07 	    421.29 
	1153403.08 	     44.78 	      1.21 	      1.71 	    263.61 	    421.43 
	1164123.17 	     45.14 	      1.21 	      1.71 	    264.15 	    421.57 
	1174942.90 	     45.50 	      1.22 	      1.71 	    264.70 	    421.72 
	1185863.19 	     45.85 	      1.22 	      1.71 	    265.24 	    421.86 
	1196884.97 	     46.21 	      1.22 	      1.71 	    265.79 	    422.00 
	1208009.20 	     46.57 	      1.22 	      1.71 	    266.34 	    422.14 
	1219236.82 	     46.93 	      1.22 	      1.71 	    266.90 	    422.28 
	1230568.79 	     47.30 	      1.22 	      1.71 	    267.45 	    422.42 
	1242006.08 	     47.66 	      1.23 	      1.71 	    268.01 	    422.56 
	1253549.68 	     48.02 	      1.23 	      1.71 	    268.56 	    422.70 
	1265200.56 	     48.38 	      1.23 	      1.71 	    269.12 	    422.84 
	1276959.73 	     48.75 	      1.23 	      1.71 	    269.69 	    422.97 
	1288828.20 	     49.11 	      1.23 	      1.71 	    270.25 	    423.11 
	1300806.97 	     49.48 	      1.24 	      1.71 	    270.82 	    423.25 
	1312897.08 	     49.85 	      1.24 	      1.71 	    271.39 	    423.38 
	1325099.56 	     50.22 	      1.24 	      1.71 	    271.96 	    423.52 
	1337415.46 	     50.59 	      1.24 	      1.71 	    272.53 	    423.65 
	1349845.82 	     50.96 	      1.24 	      1.71 	    273.11 	    423.78 
	1362391.71 	     51.33 	      1.24 	      1.71 	    273.69 	    423.91 
	1375054.21 	     51.70 	      1.25 	      1.71 	    274.27 	    424.04 
	1387834.39 	     52.07 	      1.25 	      1.71 	    274.85 	    424.17 
	1400733.36 	     52.44 	      1.25 	      1.71 	    275.44 	    424.30 
	1413752.22 	     52.82 	      1.25 	      1.71 	    276.02 	    424.43 
	1426892.08 	     53.19 	      1.25 	      1.71 	    276.61 	    424.56 
	1440154.06 	     53.57 	      1.25 	      1.71 	    277.20 	    424.68 
	1453539.31 	     53.95 	      1.26 	      1.71 	    277.80 	    424.81 
	1467048.96 	     54.32 	      1.26 	      1.71 	    278.40 	    424.93 
	1480684.17 	     54.70 	      1.26 	      1.71 	    279.00 	    425.06 
	1494446.12 	     55.08 	      1.26 	      1.70 	    279.60 	    425.18 
	1508335.97 	     55.46 	      1.26 	      1.70 	    280.20 	    425.30 
	1522354.92 	     55.84 	      1.27 	      1.70 	    280.81 	    425.42 
	1536504.17 	     56.22 	      1.27 	      1.70 	    281.42 	    425.54 
	1550784.92 	     56.61 	      1.27 	      1.70 	    282.03 	    425.66 
	1565198.41 	     56.99 	      1.27 	      1.70 	    282.64 	    425.77 
	1579745.85 	     57.37 	      1.27 	      1.70 	    283.26 	    425.89 
	1594428.51 	     57.76 	      1.27 	      1.70 	    283.88 	    426.00 
	1609247.63 	     58.15 	      1.28 	      1.70 	    284.50 	    426.11 
	1624204.48 	     58.53 	      1.28 	      1.70 	    285.13 	    426.22 
	1639300.35 	     58.92 	      1.28 	      1.70 	    285.75 	    426.33 
	1654536.52 	     59.31 	      1.28 	      1.70 	    286.39 	    426.44 
	1669914.31 	     59.70 	      1.28 	      1.70 	    287.02 	    426.55 
	1685435.02 	     60.09 	      1.29 	      1.70 	    287.65 	    426.65 
	1701099.98 	     60.48 	      1.29 	      1.70 	    288.29 	    426.76 
	1716910.54 	     60.88 	      1.29 	      1.70 	    288.93 	    426.86 
	1732868.05 	     61.27 	      1.29 	      1.70 	    289.58 	    426.96 
	1748973.87 	     61.66 	      1.29 	      1.70 	    290.23 	    427.06 
	1765229.38 	     62.06 	      1.29 	      1.70 	    290.88 	    427.16 
	1781635.98 	     62.45 	      1.30 	      1.70 	    291.53 	    427.25 
	1798195.07 	     62.85 	      1.30 	      1.70 	    292.18 	    427.35 
	1814908.06 	     63.25 	      1.30 	      1.70 	    292.84 	    427.44 
	1831776.38 	     63.65 	      1.30 	      1.70 	    293.51 	    427.53 
	1848801.49 	     64.05 	      1.30 	      1.70 	    294.17 	    427.62 
	1865984.83 	     64.45 	      1.31 	      1.70 	    294.84 	    427.70 
	1883327.88 	     64.85 	      1.31 	      1.70 	    295.51 	    427.79 
	1900832.13 	     65.25 	      1.31 	      1.70 	    296.19 	    427.87 
	1918499.06 	     65.66 	      1.31 	      1.70 	    296.86 	    427.95 
	1936330.19 	     66.06 	      1.31 	      1.70 	    297.54 	    428.03 
	1954327.06 	     66.47 	      1.32 	      1.70 	    298.23 	    428.10 
	1972491.19 	     66.87 	      1.32 	      1.70 	    298.92 	    428.18 
	1990824.14 	     67.28 	      1.32 	      1.70 	    299.61 	    428.25 
	2009327.49 	     67.69 	      1.32 	      1.70 	    300.30 	    428.31 
	2028002.81 	     68.09 	      1.32 	      1.70 	    301.00 	    428.38 
	2046851.71 	     68.50 	      1.33 	      1.70 	    301.70 	    428.44 
	2065875.79 	     68.91 	      1.33 	      1.70 	    302.41 	    428.50 
	2085076.69 	     69.33 	      1.33 	      1.70 	    303.12 	    428.56 
	2104456.05 	     69.74 	      1.33 	      1.70 	    303.83 	    428.62 
	2124015.53 	     70.15 	      1.33 	      1.70 	    304.55 	    428.67 
	2143756.80 	     70.57 	      1.34 	      1.70 	    305.27 	    428.72 
	2163681.55 	     70.98 	      1.34 	      1.69 	    305.99 	    428.76 
	2183791.49 	     71.40 	      1.34 	      1.69 	    306.72 	    428.81 
	2204088.33 	     71.81 	      1.34 	      1.69 	    307.45 	    428.85 
	2224573.82 	     72.23 	      1.34 	      1.69 	    308.18 	    428.88 
	2245249.71 	     72.65 	      1.35 	      1.69 	    308.92 	    428.92 
	2266117.77 	     73.07 	      1.35 	      1.69 	    309.67 	    428.94 
	2287179.78 	     73.49 	      1.35 	      1.69 	    310.42 	    428.97 
	2308437.55 	     73.91 	      1.35 	      1.69 	    311.17 	    428.99 
	2329892.90 	     74.33 	      1.35 	      1.69 	    311.93 	    429.01 
	2351547.66 	     74.76 	      1.36 	      1.69 	    312.69 	    429.02 
	2373403.68 	     75.18 	      1.36 	      1.69 	    313.45 	    429.03 
	2395462.84 	     75.60 	      1.36 	      1.69 	    314.22 	    429.04 
	2417727.03 	     76.03 	      1.36 	      1.69 	    315.00 	    429.04 
	2440198.14 	     76.46 	      1.37 	      1.69 	    315.78 	    429.04 
	2462878.11 	     76.88 	      1.37 	      1.69 	    316.56 	    429.03 
	2485768.88 	     77.31 	      1.37 	      1.69 	    317.35 	    429.02 
	2508872.40 	     77.74 	      1.37 	      1.69 	    318.15 	    429.00 
	2532190.65 	     78.17 	      1.37 	      1.69 	    318.95 	    428.97 
	2555725.63 	     78.60 	      1.38 	      1.69 	    319.75 	    428.95 
	2579479.34 	     79.03 	      1.38 	      1.69 	    320.56 	    428.91 
	2603453.84 	     79.47 	      1.38 	      1.69 	    321.38 	    428.87 
	2627651.16 	     79.90 	      1.38 	      1.69 	    322.20 	    428.82 
	2652073.38 	     80.34 	      1.39 	      1.68 	    323.03 	    428.77 
	2676722.58 	     80.77 	      1.39 	      1.68 	    323.86 	    428.71 
	2701600.88 	     81.21 	      1.39 	      1.68 	    324.70 	    428.65 
	2726710.41 	     81.64 	      1.39 	      1.68 	    325.55 	    428.58 
	2752053.32 	     82.08 	      1.39 	      1.68 	    326.40 	    428.50 
	2777631.77 	     82.52 	      1.40 	      1.68 	    327.26 	    428.41 
	2803447.95 	     82.96 	      1.40 	      1.68 	    328.13 	    428.31 
	2829504.08 	     83.40 	      1.40 	      1.68 	    329.00 	    428.21 
	2855802.38 	     83.84 	      1.40 	      1.68 	    329.88 	    428.10 
	2882345.11 	     84.28 	      1.41 	      1.68 	    330.77 	    427.98 
	2909134.53 	     84.73 	      1.41 	      1.68 	    331.67 	    427.85 
	2936172.94 	     85.17 	      1.41 	      1.68 	    332.57 	    427.71 
	2963462.66 	     85.61 	      1.41 	      1.68 	    333.48 	    427.55 
	2991006.02 	     86.06 	      1.42 	      1.68 	    334.40 	    427.39 
	3018805.37 	     86.50 	      1.42 	      1.67 	    335.33 	    427.22 
	3046863.10 	     86.95 	      1.42 	      1.67 	    336.27 	    427.04 
	3075181.60 	     87.40 	      1.42 	      1.67 	    337.22 	    426.84 
	3103763.31 	     87.85 	      1.43 	      1.67 	    338.18 	    426.63 
	3132610.66 	     88.30 	      1.43 	      1.67 	    339.15 	    426.41 
	3161726.13 	     88.75 	      1.43 	      1.67 	    340.13 	    426.17 
	3191112.21 	     89.20 	      1.43 	      1.67 	    341.13 	    425.91 
	3220771.41 	     89.65 	      1.44 	      1.67 	    342.13 	    425.64 
	3250706.27 	     90.10 	      1.44 	      1.67 	    343.15 	    425.35 
	3280919.36 	     90.55 	      1.44 	      1.66 	    344.18 	    425.04 
	3311413.26 	     91.00 	      1.45 	      1.66 	    345.23 	    424.72 
	3342190.58 	     91.46 	      1.45 	      1.66 	    346.29 	    424.37 
	3373253.95 	     91.91 	      1.45 	      1.66 	    347.37 	    423.99 
	3404606.03 	     92.37 	      1.45 	      1.66 	    348.47 	    423.59 
	3436249.51 	     92.82 	      1.46 	      1.66 	    349.59 	    423.17 
	3468187.10 	     93.28 	      1.46 	      1.66 	    350.73 	    422.71 
	3500421.52 	     93.73 	      1.46 	      1.65 	    351.89 	    422.22 
	3532955.54 	     94.19 	      1.47 	      1.65 	    353.08 	    421.70 
	3565791.94 	     94.65 	      1.47 	      1.65 	    354.29 	    421.13 
	3598933.54 	     95.11 	      1.47 	      1.65 	    355.54 	    420.52 
	3632383.16 	     95.56 	      1.48 	      1.65 	    356.82 	    419.86 
	3666143.67 	     96.02 	      1.48 	      1.64 	    358.14 	    419.15 
	3700217.97 	     96.48 	      1.48 	      1.64 	    359.51 	    418.36 
	3734608.96 	     96.94 	      1.49 	      1.64 	    360.93 	    417.50 
	3769319.59 	     97.40 	      1.49 	      1.64 	    362.41 	    416.55 
	3804352.83 	     97.86 	      1.49 	      1.63 	    363.97 	    415.49 
	3839711.68 	     98.32 	      1.50 	      1.63 	    365.63 	    414.29 
	3875399.17 	     98.78 	      1.50 	      1.63 	    367.41 	    412.91 
	3911418.35 	     99.24 	      1.51 	      1.62 	    369.37 	    411.29 
	3947772.31 	     99.69 	      1.51 	      1.62 	    371.59 	    409.32 
	3984464.15 	    100.15 	      1.52 	      1.61 	    374.23 	    406.75 
	4021497.01 	    100.61 	      1.53 	      1.60 	    377.82 	    402.96 
